Date,Rainfall,Tmax,Tmin,speed
20110531,0.19,28.2,19.9,
20110601,0.20,27.8,19.1,
20110602,0.05,28.4,19.9,
20110603,0.41,28.5,20.6,
20110604,0.86,28.3,19.4,
20110605,0.14,28.3,19.5,
20110606,35.78,28.7,20.3,
20110607,4.54,26.7,19.6,
20110608,1.35,27.4,18.5,
20110609,1.08,27.4,18.4,
20110610,2.26,28.5,19.9,
20110611,38.52,25.2,19.3,
20110612,5.96,23.7,18.6,
20110613,3.69,26.5,18.3,
20110614,1.47,26.7,18.9,
20110615,0.79,27.2,19.8,
20110616,0.33,27.6,19.5,
20110617,0.50,27.7,19.9,
20110618,1.56,28.5,19.7,
20110619,0.87,26.1,20.1,
20110620,52.37,26.7,19.3,
20110621,0.00,26.4,17.9,
20110622,1.21,26.2,19.0,
20110623,2.57,25.8,19.0,
20110624,0.36,25.4,18.4,
20110625,0.71,26.3,18.4,
20110626,1.38,27.1,18.5,
20110627,5.55,27.8,19.0,
20110628,3.32,25.7,17.9,
20110629,0.61,28.3,18.4,
20110630,1.02,26.9,19.1,
20110701,0.29,28.4,19.1,
20110702,1.25,28.0,19.0,
20110703,1.72,29.0,18.5,
20110704,1.19,27.1,19.0,
20110705,0.57,28.5,18.9,
20110706,0.00,27.8,18.6,
20110707,0.00,28.7,19.3,
20110708,0.46,27.4,19.8,
20110709,0.44,27.9,20.0,
20110710,1.43,27.1,18.4,
20110711,0.73,26.1,17.4,
20110712,0.00,26.8,18.0,
20110713,0.02,26.6,18.0,
20110714,2.19,27.5,18.6,
20110715,0.08,28.3,18.9,
20110716,0.08,27.4,18.6,
20110717,0.29,28.1,18.5,
20110718,0.18,25.8,19.0,
20110719,0.25,27.0,19.1,
20110720,0.94,27.6,19.7,
20110721,1.86,26.9,18.7,
20110722,0.56,24.9,18.3,
20110723,10.62,25.9,18.6,
20110724,0.00,25.6,18.8,
20110725,0.00,26.6,17.5,
20110726,0.00,26.6,17.8,
20110727,0.89,26.1,18.9,
20110728,7.99,27.6,18.7,
20110729,8.90,27.9,19.2,
20110730,0.00,22.6,16.8,
20110731,0.36,25.0,18.3,
20110801,0.51,26.1,18.1,
20110802,2.79,26.8,18.8,
20110803,9.01,27.9,18.4,
20110804,9.42,27.9,18.6,
20110805,22.22,26.0,16.9,
20110806,0.71,26.7,18.6,
20110807,1.00,25.1,19.7,
20110808,8.16,25.5,18.8,
20110809,15.71,25.5,17.4,
20110810,21.51,25.5,18.4,
20110811,19.13,21.4,19.7,
20110812,22.01,25.3,16.3,
20110813,2.00,25.1,17.0,
20110814,22.06,24.8,16.3,
20110815,9.02,25.1,17.8,
20110816,2.41,25.3,16.4,
20110817,3.16,25.1,17.4,
20110818,1.90,24.3,17.5,
20110819,0.00,26.1,16.7,
20110820,0.11,26.1,17.3,
20110821,1.03,26.6,17.0,
20110822,2.22,25.1,18.1,
20110823,0.27,26.2,17.4,
20110824,0.76,26.0,17.7,
20110825,0.84,25.4,18.4,
20110826,0.00,25.3,15.9,
20110827,3.83,26.8,18.0,
20110828,2.18,24.4,17.2,
20110829,0.00,23.7,16.6,
20110830,0.00,26.1,17.5,
20110831,2.36,25.5,17.5,
20110901,2.98,25.3,17.9,
20110902,0.00,23.7,18.2,
20110903,0.00,24.4,16.8,
